ParameterId;Date;Value
38;04.08.2011;7,835721
39;04.08.2011;36,1194
40;04.08.2011;1,08539
41;04.08.2011;1,294418
42;04.08.2011;1,065189
43;04.08.2011;11,4
44;04.08.2011;0,46
45;04.08.2011;0,3
46;04.08.2011;0,5
47;04.08.2011;89,2
48;04.08.2011;7,9
49;04.08.2011;35,21981
50;04.08.2011;56,68597
51;04.08.2011;1822,265
52;04.08.2011;3,882137
53;04.08.2011;1256,602
54;04.08.2011;2133,018
55;04.08.2011;437,246
1;05.08.2011;1,395132
2;05.08.2011;0,9765922
3;05.08.2011;0,4185395
4;05.08.2011;1251,546
5;05.08.2011;222,9034
6;05.08.2011;0,476
7;05.08.2011;20,6
8;05.08.2011;50,73892
9;05.08.2011;1,206549
10;05.08.2011;1,225026
11;05.08.2011;0,9997324
12;05.08.2011;0,5461835
13;05.08.2011;0,3516662
14;05.08.2011;0,7158893
15;05.08.2011;3,14435
20;05.08.2011;0,2074806
21;05.08.2011;4,595546
22;05.08.2011;4,718944
23;05.08.2011;2,836959
24;05.08.2011;589,4979
25;05.08.2011;0,1380026
26;05.08.2011;335,9705
28;05.08.2011;41,17442
29;05.08.2011;61,5
30;05.08.2011;3244,419
31;05.08.2011;2,644634
34;05.08.2011;27,12059
35;05.08.2011;438,5817
36;05.08.2011;0,9874055
37;05.08.2011;0,9647533
38;05.08.2011;7,739897
39;05.08.2011;32,6087
40;05.08.2011;1,115248
41;05.08.2011;1,326823
42;05.08.2011;1,090473
43;05.08.2011;11,4
44;05.08.2011;0,46
45;05.08.2011;0,3
46;05.08.2011;0,5
47;05.08.2011;89,3
48;05.08.2011;8,1
49;05.08.2011;35,20635
50;05.08.2011;56,64025
51;05.08.2011;1813,944
52;05.08.2011;3,999854
53;05.08.2011;1233,772
54;05.08.2011;2095,906
55;05.08.2011;424,7103
1;05.08.2011;1,404858
2;05.08.2011;0,9834009
3;05.08.2011;0,4214575
4;05.08.2011;1251,774
5;05.08.2011;248,7854
6;05.08.2011;0,52
7;05.08.2011;20,8
8;05.08.2011;48,82629
9;05.08.2011;1,248391
10;05.08.2011;1,300517
11;05.08.2011;0,9997808
12;05.08.2011;0,5559135
13;05.08.2011;0,357931
14;05.08.2011;0,7286425
15;05.08.2011;2,733009
20;05.08.2011;0,2335328
21;05.08.2011;4,167888
22;05.08.2011;4,466015
23;05.08.2011;2,841388
24;05.08.2011;601,8132
25;05.08.2011;0,1306059
26;05.08.2011;343,8603
28;05.08.2011;60,21487
29;05.08.2011;58
30;05.08.2011;3173,659
31;05.08.2011;2,419006
34;05.08.2011;27,18622
35;05.08.2011;424,6386
36;05.08.2011;1,023166
37;05.08.2011;0,9857724
38;05.08.2011;6,900897
39;05.08.2011;45,75
40;05.08.2011;1,07303
41;05.08.2011;1,278684
42;05.08.2011;1,055689
43;05.08.2011;11,3
44;05.08.2011;0,46
45;05.08.2011;0,3
46;05.08.2011;0,6
47;05.08.2011;89,5
48;05.08.2011;8
49;05.08.2011;35,32
50;05.08.2011;56,49371
51;05.08.2011;1818,184
52;05.08.2011;3,855169
53;05.08.2011;1144,899
54;05.08.2011;1947,817
55;05.08.2011;441,3037
1;05.08.2011;1,399643
2;05.08.2011;0,9797502
3;05.08.2011;0,419893
4;05.08.2011;1251,251
5;05.08.2011;216,0344
6;05.08.2011;0,5225
7;05.08.2011;15,7
8;05.08.2011;40,3599
9;05.08.2011;1,216285
10;05.08.2011;1,156167
11;05.08.2011;0,999695
12;05.08.2011;0,5468384
13;05.08.2011;0,3520879
14;05.08.2011;0,7167476
15;05.08.2011;3,068015
20;05.08.2011;0,2092787
21;05.08.2011;4,41459
22;05.08.2011;4,875651
23;05.08.2011;2,838772
24;05.08.2011;625,3615
25;05.08.2011;0,1425854
26;05.08.2011;363,6815
28;05.08.2011;56,69925
29;05.08.2011;62,5
30;05.08.2011;3169,357
31;05.08.2011;2,894731
34;05.08.2011;27,86268
35;05.08.2011;434,0862
36;05.08.2011;0,9974555
37;05.08.2011;0,969574
38;05.08.2011;7,482605
39;05.08.2011;45,09091
40;05.08.2011;1,070071
41;05.08.2011;1,287715
42;05.08.2011;1,062191
43;05.08.2011;11,4
44;05.08.2011;0,46
45;05.08.2011;0,3
46;05.08.2011;0,6
47;05.08.2011;89,3
48;05.08.2011;8
49;05.08.2011;35,29939
50;05.08.2011;56,99221
51;05.08.2011;1846,23
52;05.08.2011;4,026435
53;05.08.2011;1288,744
54;05.08.2011;2172,777
55;05.08.2011;418,7239
1;06.08.2011;1,374157
2;06.08.2011;0,9619098
3;06.08.2011;0,4122471
4;06.08.2011;1251,446
5;06.08.2011;212,9185
6;06.08.2011;0,438
7;06.08.2011;20,8
8;06.08.2011;52,13033
9;06.08.2011;1,21656
10;06.08.2011;1,268839
11;06.08.2011;0,999705
12;06.08.2011;0,5429797
13;06.08.2011;0,3496034
14;06.08.2011;0,71169
15;06.08.2011;3,049366
20;06.08.2011;0,2171586
21;06.08.2011;4,689282
22;06.08.2011;4,83699
23;06.08.2011;2,815418
24;06.08.2011;626,6143
25;06.08.2011;0,1414548
26;06.08.2011;304,912
28;06.08.2011;27,31526
29;06.08.2011;61,5
30;06.08.2011;3319,172
31;06.08.2011;2,942976
34;06.08.2011;27,28555
35;06.08.2011;437,118
36;06.08.2011;0,988535
37;06.08.2011;0,9675785
38;06.08.2011;7,738648
39;06.08.2011;42,36111
40;06.08.2011;1,071018
41;06.08.2011;1,299922
42;06.08.2011;1,073979
43;06.08.2011;11,4
44;06.08.2011;0,46
45;06.08.2011;0,3
46;06.08.2011;0,6
47;06.08.2011;89,2
48;06.08.2011;8,2
49;06.08.2011;31,58812
50;06.08.2011;56,68324
51;06.08.2011;1826,596
52;06.08.2011;3,924731
53;06.08.2011;1249,593
54;06.08.2011;2120,405
55;06.08.2011;432,3547
1;06.08.2011;1,423987
2;06.08.2011;0,9967909
3;06.08.2011;0,4271961
4;06.08.2011;1251,284
5;06.08.2011;218,3625
6;06.08.2011;0,5533333
7;06.08.2011;21
8;06.08.2011;50,23923
9;06.08.2011;1,209536
10;06.08.2011;1,232939
11;06.08.2011;0,999715
12;06.08.2011;0,5654643
13;06.08.2011;0,3640803
